track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Depends On When,0.805,0.78,0.534,0.918,0.101,-10.717,0.354,0.382,180.104
Lofi Panda Chill,0.979,0.442,0.31,0.924,0.0912,-15.434,0.0436,0.521,149.202
Lord Take My Hands,0.203,0.806,0.621,0.959,0.108,-7.533,0.0551,0.168,94.955
Lost In The Lofi,0.939,0.741,0.556,0.956,0.12,-8.851,0.0401,0.903,130.046
Space Lotus,0.404,0.585,0.644,0.886,0.113,-11.027,0.0485,0.21,180.117
Thinking About You,0.933,0.781,0.355,0.894,0.273,-14.989,0.109,0.551,81.495
Simple Jazz Story,0.912,0.698,0.209,0.96,0.0816,-17.764,0.138,0.852,170.939
Bustling atmosphere,0.0058,0.61,0.718,0.000537,0.327,-5.39,0.202,0.851,87.949
Lo-fi radio broadcasts,0.441,0.669,0.69,0.792,0.535,-6.92,0.127,0.449,81.512
Relaxed in my bed,0.752,0.607,0.595,0.898,0.303,-8.809,0.178,0.275,83.985
Asleep on my cork,0.92,0.719,0.233,0.392,0.251,-18.053,0.346,0.919,84.091
Hip Hop Lo-fi,0.813,0.566,0.789,2.02E-05,0.338,-9.04,0.309,0.846,126.199
Zero fatigue,0.131,0.876,0.414,0.915,0.392,-11.119,0.556,0.859,154.019
confused mind,0.689,0.409,0.489,1.29E-06,0.405,-10.83,0.526,0.476,79.551
Radio Lo-fi,0.0329,0.443,0.639,0.799,0.394,-14.581,0.299,0.75,73.565
Chillhop,0.168,0.652,0.314,0.809,0.118,-11.454,0.0702,0.617,82.086
Crazy hip hop,0.161,0.767,0.757,0.0149,0.288,-7.518,0.434,0.77,116.233
Disco in my house,0.858,0.671,0.541,0.806,0.262,-11.676,0.45,0.65,160.154
Just listen,0.261,0.734,0.806,0.239,0.19,-5.95,0.136,0.212,78.492
Voices,0.435,0.592,0.646,0,0.598,-7.035,0.318,0.758,87.854
Soft as cotton,0.537,0.495,0.358,0.0124,0.167,-12.019,0.196,0.266,129.622
passive,0.582,0.463,0.581,0.242,0.903,-9.005,0.0609,0.339,153.825
4AM Jams,0.987,0.78,0.382,0.906,0.178,-13.502,0.22,0.522,80.023
Panther Strike,0.775,0.812,0.604,0.929,0.118,-15.641,0.0974,0.108,99.959
Forest Chill,0.895,0.855,0.254,0.903,0.237,-16.145,0.134,0.337,140.007
Sad Guitar Boy,0.969,0.854,0.247,0.892,0.337,-19.329,0.329,0.828,90.002
OMG LOFI,0.859,0.844,0.225,0.943,0.122,-13.057,0.117,0.177,100.008
Time Crunch,0.983,0.827,0.378,0.9,0.131,-12.783,0.394,0.433,80.101
SpaceHop,0.852,0.709,0.454,0.951,0.0929,-18.082,0.145,0.826,159.909
Lofi Standards,0.964,0.794,0.532,0.944,0.245,-13.602,0.561,0.695,79.972
Stanger Things,0.62,0.742,0.274,0.919,0.0818,-13.859,0.0741,0.717,79.934
Lofi Style Drums,0.942,0.818,0.235,0.945,0.108,-14.136,0.289,0.375,105.005
A Night On Route 66,0.93,0.329,0.441,0.95,0.479,-15.392,0.392,0.327,143.505
Houdini,0.883,0.526,0.419,0.881,0.282,-10.245,0.243,0.607,78.058
Hold Me,0.93,0.751,0.846,0.791,0.101,-6.354,0.0366,0.5,91.045
Snow,0.609,0.857,0.276,0.918,0.0644,-15.148,0.0511,0.289,104.994
Lift Off,0.873,0.758,0.301,0.732,0.0849,-12.716,0.0894,0.238,93.987
Vortex,0.51,0.745,0.458,0.874,0.121,-8.818,0.0395,0.581,89.962
I Love You,0.669,0.387,0.333,0.898,0.51,-11.754,0.176,0.541,159.804
Call Me Back,0.347,0.577,0.493,0.806,0.394,-9.808,0.0554,0.145,180.11
Catch Me In the Stars,0.159,0.595,0.595,0.736,0.563,-12.791,0.107,0.745,179.995
Will You Go to the Dance With Me?,0.864,0.733,0.428,0.375,0.15,-11.931,0.281,0.604,90.02
Sleepy Magic,0.967,0.53,0.138,0.6,0.129,-15.707,0.147,0.217,188.362
Thinkin Bout U,0.701,0.635,0.522,0.658,0.117,-13.335,0.0996,0.262,186.005
Sleepless In Okinawa,0.837,0.653,0.248,0.672,0.114,-18.054,0.0413,0.39,80.016
Nightlight Paradise,0.984,0.759,0.0713,0.934,0.12,-13.137,0.12,0.534,80.017
soft as cotton,0.319,0.623,0.132,0.861,0.872,-18.313,0.0501,0.154,139.99
Study relaxed,0.823,0.637,0.179,0.903,0.123,-17.412,0.0439,0.274,78.019
Total peace of mind,0.843,0.631,0.27,2.29E-06,0.104,-14.019,0.329,0.204,89.91
I transported myself beyond,0.897,0.575,0.61,0.612,0.294,-13.282,0.0738,0.12,87.65
control of me,0.311,0.487,0.72,0.00774,0.104,-6.876,0.0587,0.12,126.439
My blue sky,0.534,0.724,0.526,0.693,0.0822,-10.806,0.061,0.425,150.005
Sleeps peacefully,0.924,0.546,0.345,0.898,0.175,-10.997,0.0732,0.217,79.982
i found peace,0.96,0.639,0.226,0.961,0.0978,-14.725,0.0494,0.122,148.005
trusted,0.851,0.46,0.27,0.743,0.427,-13.581,0.214,0.811,83.736
security in me,0.935,0.724,0.131,0.85,0.171,-13.11,0.0511,0.429,84.969
silence inside me,0.825,0.649,0.385,1.18E-06,0.358,-13.874,0.231,0.217,88.998
I like to live,0.904,0.7,0.264,0.627,0.0798,-13.705,0.159,0.381,79.971
take it easy,0.193,0.847,0.157,0.875,0.1,-16.4,0.399,0.958,151.871
good morning world,0.516,0.656,0.346,0.374,0.103,-17.215,0.0969,0.253,90.041
Lofi Flute Hums,0.769,0.761,0.422,0.895,0.098,-11.405,0.0494,0.942,159.982
Musical Status,0.995,0.533,0.0261,0.95,0.138,-32.018,0.472,0.873,66.232
Darkness Within,0.993,0.387,0.0348,0.908,0.0642,-29.771,0.0515,0.369,70.064
Lofi Samurai,0.904,0.752,0.219,0.866,0.0911,-15.029,0.0881,0.335,129.027
Tokyo Cafe Lounge,0.889,0.458,0.506,0.977,0.232,-10.383,0.0815,0.334,85.244
Smokers Pit,0.961,0.673,0.441,0.959,0.101,-10.104,0.0399,0.545,95.268
Let The Rain Fall,0.941,0.736,0.219,0.959,0.092,-13.666,0.072,0.136,75.086
Lofi Hip Hop,0.625,0.666,0.572,0.897,0.12,-8.467,0.0778,0.921,85.117
Jazz Style Rumble,0.638,0.694,0.283,0.956,0.131,-17.098,0.0891,0.672,84.945
Shift & Slide,0.861,0.913,0.665,0.117,0.173,-5.892,0.203,0.641,89.941
See You Soon,0.973,0.548,0.301,0.739,0.102,-11.106,0.0365,0.36,75.017
Day Dreams,0.967,0.522,0.266,0.909,0.113,-15.481,0.0371,0.0882,79.968
Blue Skies,0.984,0.477,0.296,0.893,0.0964,-14.31,0.0366,0.311,74.978
Magic Bullets,0.45,0.306,0.578,0.89,0.109,-14.687,0.0371,0.104,85.408
Mirrors Cafe Smoke,0.993,0.677,0.0333,0.905,0.123,-28.156,0.494,0.502,95.119
ChillHop Madness,0.979,0.776,0.121,0.956,0.104,-23.425,0.0701,0.67,89.992
Dont Sugar Coat It,0.976,0.743,0.126,0.938,0.087,-16.6,0.248,0.188,140.137
Goodbye Lofi,0.827,0.882,0.167,0.852,0.11,-11.898,0.0614,0.601,84.974
Late Summer ChillHop,0.843,0.433,0.364,0.865,0.11,-17.885,0.0383,0.521,75.153
Lofi ChillHop Harps,0.946,0.627,0.299,0.946,0.0986,-18.893,0.0841,0.38,119.995
Lofi Space Race,0.948,0.738,0.0449,0.969,0.0686,-20.641,0.103,0.591,79.998
Morning ChillHop,0.91,0.701,0.228,0.917,0.214,-15.596,0.0394,0.233,79.968
Planet Planetarium,0.967,0.507,0.0165,0.886,0.119,-25.812,0.173,0.657,84.117
Stranger Things,0.991,0.628,0.159,0.931,0.0708,-20.191,0.0528,0.146,90.031
ChillHop Life Force,0.687,0.561,0.209,0.918,0.112,-16.829,0.0411,0.792,85.076
Almost Awake,0.0739,0.556,0.392,0.842,0.135,-7.421,0.0361,0.269,86.009
Changing Love,0.86,0.72,0.187,0.742,0.117,-14.014,0.196,0.394,85.992
Marshmellow Memories,0.471,0.78,0.519,0.729,0.197,-8.27,0.0574,0.442,89.93
Messeges,0.245,0.62,0.485,0.899,0.332,-11.272,0.0405,0.822,82.992
Howling,0.746,0.736,0.37,0.658,0.203,-10.37,0.0521,0.354,90.067
